elapsed_sec,process_tree_cpu_percent,system_cpu_percent,process_tree_ram_mb,system_ram_percent,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,process_count
0.0117630999998255,0.0,0.0,435.9453125,72.4,0.0,246.81640625,6144.0,4.017194112141928,1
0.5255799999999908,291.3,28.0,467.890625,72.6,1.0,247.06640625,6144.0,4.021263122558594,1
1.0438853999999083,414.8,33.8,468.6875,72.7,1.0,247.12890625,6144.0,4.02228037516276,1
1.5649865000000318,405.8,48.1,469.0234375,72.7,0.0,247.25390625,6144.0,4.024314880371094,1
2.0812379999997574,403.5,56.4,471.41015625,72.9,0.0,247.25390625,6144.0,4.024314880371094,1
2.59506569999985,460.3,41.5,472.3046875,73.1,0.0,247.25390625,6144.0,4.024314880371094,1
3.1119767999998658,493.6,41.1,471.92578125,73.0,0.0,247.37890625,6144.0,4.026349385579428,1
3.6276198000000477,109.2,26.9,776.22265625,75.2,16.0,562.9296875,6144.0,9.162267049153645,1
4.1549417000001085,507.5,47.2,1869.32421875,81.4,16.0,675.5625,6144.0,10.9954833984375,1
4.772964299999785,591.5,77.6,2185.328125,84.7,1.0,672.5625,6144.0,10.9466552734375,1
5.293561899999986,772.2,78.7,2185.34375,84.8,1.0,669.9375,6144.0,10.9039306640625,1
5.822629700000107,769.1,67.2,2186.92578125,84.8,1.0,669.9375,6144.0,10.9039306640625,1
6.337914299999738,782.8,56.7,2185.34375,84.7,1.0,669.9375,6144.0,10.9039306640625,1
6.855217499999981,748.9,54.4,2185.34375,84.7,1.0,669.9375,6144.0,10.9039306640625,1
7.374042500000087,767.6,55.4,2185.34375,84.8,1.0,670.125,6144.0,10.906982421875,1
7.895599699999821,760.1,59.2,2190.1484375,84.6,2.0,671.25,6144.0,10.92529296875,1
8.414639900000111,753.3,55.9,2212.35546875,84.6,2.0,668.375,6144.0,10.878499348958332,1
8.934087300000101,526.9,54.5,1666.23828125,82.4,1.0,1868.375,6144.0,30.409749348958332,1
9.449234599999727,93.8,23.2,1161.37890625,77.7,1.0,2280.375,6144.0,37.115478515625,1
9.961088799999743,103.2,12.9,1167.1171875,77.5,28.0,2352.375,6144.0,38.287353515625,1
10.477369100000033,90.8,10.8,1167.83203125,77.4,28.0,2358.375,6144.0,38.385009765625,1
10.994695899999897,103.0,18.2,1168.71484375,77.4,99.0,2362.375,6144.0,38.45011393229167,1
11.510524299999815,100.1,24.4,1169.875,77.4,99.0,2364.375,6144.0,38.482666015625,1
12.024625399999877,94.2,24.1,1170.578125,77.4,99.0,2368.375,6144.0,38.54777018229167,1
12.542789600000106,93.9,29.9,1171.44921875,77.6,99.0,2374.375,6144.0,38.64542643229167,1
13.062071800000012,93.8,20.0,1172.37109375,77.6,99.0,2378.375,6144.0,38.71053059895833,1
13.574655999999777,93.9,19.8,1173.04296875,77.7,98.0,2382.375,6144.0,38.775634765625,1
14.088982899999792,100.0,25.2,1173.95703125,77.6,98.0,2388.375,6144.0,38.873291015625,1
14.607779599999958,97.1,23.9,1174.8203125,77.6,98.0,2394.53125,6144.0,38.97349039713542,1
15.13867449999998,96.9,23.3,1175.671875,77.5,98.0,2400.53125,6144.0,39.07114664713542,1
15.652866399999766,100.1,18.6,1176.36328125,77.5,98.0,2404.53125,6144.0,39.13625081380208,1
16.169185499999912,99.9,19.9,1177.2109375,77.5,98.0,2408.53125,6144.0,39.20135498046875,1
16.686234599999807,96.9,14.4,1178.06640625,77.5,98.0,2411.1875,6144.0,39.24458821614583,1
17.19943749999993,106.2,17.7,1178.75390625,77.5,98.0,2415.1875,6144.0,39.3096923828125,1
17.714624100000037,97.1,18.6,1179.609375,77.5,98.0,2419.1875,6144.0,39.37479654947917,1
18.22917210000014,93.9,16.0,1180.46875,77.5,98.0,2425.1875,6144.0,39.47245279947917,1
18.74142329999995,96.9,12.5,1181.14453125,77.6,98.0,2429.1875,6144.0,39.53755696614583,1
19.256573300000127,208.5,17.9,1924.390625,80.4,98.0,2433.1875,6144.0,39.6026611328125,1
19.823290799999995,673.8,63.4,2385.65625,85.9,12.0,2433.1875,6144.0,39.6026611328125,1
20.342283999999836,772.2,64.6,2391.1015625,85.9,12.0,2433.1875,6144.0,39.6026611328125,1
20.8635933999999,732.8,72.3,2391.0546875,85.9,1.0,2433.1875,6144.0,39.6026611328125,1
21.38573559999986,759.2,69.9,2385.66796875,86.0,1.0,2433.1875,6144.0,39.6026611328125,1
21.90785670000014,779.7,62.8,2393.90234375,86.0,1.0,2433.1875,6144.0,39.6026611328125,1
22.425405899999987,784.3,67.6,2391.2890625,86.1,1.0,2433.1875,6144.0,39.6026611328125,1
22.945291799999723,641.5,71.3,2385.67578125,86.2,1.0,3625.3046875,6144.0,59.00561014811198,1
23.465718399999787,103.0,29.4,1185.671875,77.8,1.0,3673.3046875,6144.0,59.78686014811198,1
23.99028640000006,96.9,26.0,1185.69921875,77.8,99.0,3673.3046875,6144.0,59.78686014811198,1
24.50498729999981,97.1,32.8,1185.71484375,77.7,99.0,3673.3046875,6144.0,59.78686014811198,1
25.021064999999908,109.0,24.3,1187.58984375,77.7,98.0,3675.3046875,6144.0,59.81941223144531,1
25.538442000000032,94.1,40.1,1187.66796875,77.7,0.0,3675.3046875,6144.0,59.81941223144531,1
26.05585719999999,45.4,24.4,1192.03125,77.7,0.0,3675.3046875,6144.0,59.81941223144531,1
26.570634700000028,23.5,33.1,1192.0390625,77.7,0.0,3675.3046875,6144.0,59.81941223144531,1
27.098318100000142,17.6,37.1,1291.9375,78.5,0.0,3675.3046875,6144.0,59.81941223144531,2
27.623914599999807,482.4,70.4,2391.07421875,86.0,0.0,3675.3046875,6144.0,59.81941223144531,1
28.14279499999975,811.5,61.4,2395.265625,86.0,0.0,3675.3046875,6144.0,59.81941223144531,1
28.66418539999995,768.0,61.1,2413.4453125,86.0,1.0,3667.1796875,6144.0,59.68716939290365,1
29.185716599999978,781.2,66.8,2395.2421875,86.0,1.0,3667.1796875,6144.0,59.68716939290365,1
29.708654199999728,753.3,69.6,2394.6953125,86.0,3.0,3667.1796875,6144.0,59.68716939290365,1
30.233027299999776,738.9,63.2,2396.44921875,86.0,3.0,3667.1796875,6144.0,59.68716939290365,1
30.749752299999727,703.9,67.7,2391.02734375,86.1,3.0,3667.1796875,6144.0,59.68716939290365,1
31.271167299999888,484.5,54.4,1577.44140625,82.3,3.0,3667.1796875,6144.0,59.68716939290365,1
31.789232300000094,100.1,17.3,1189.4375,77.9,74.0,3667.1796875,6144.0,59.68716939290365,1
32.305422200000066,96.9,13.7,1189.44140625,77.9,74.0,3667.1796875,6144.0,59.68716939290365,1
32.82099429999971,90.8,18.2,1189.44140625,77.6,99.0,3667.1796875,6144.0,59.68716939290365,1
33.3358604,94.1,11.5,1189.44140625,77.6,99.0,3667.1796875,6144.0,59.68716939290365,1
33.85312930000009,103.0,11.3,1189.4453125,77.6,99.0,3667.1796875,6144.0,59.68716939290365,1
34.36883570000009,99.9,12.8,1189.4453125,77.6,99.0,3667.1796875,6144.0,59.68716939290365,1
34.884139700000105,103.2,12.1,1189.44921875,77.6,98.0,3667.1796875,6144.0,59.68716939290365,1
35.399243899999874,96.9,13.0,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
35.912694399999964,94.1,17.2,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
36.42883840000013,106.0,16.1,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
36.94502319999992,87.8,15.5,1189.44921875,77.6,98.0,3667.1796875,6144.0,59.68716939290365,1
37.46008010000014,94.1,24.6,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
37.97452320000002,96.9,11.6,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
38.48819219999996,96.9,12.1,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
39.00545579999971,85.0,23.5,1189.44921875,77.6,99.0,3681.90625,6144.0,59.926859537760414,1
39.52133359999971,99.9,22.6,1189.453125,77.6,99.0,3681.90625,6144.0,59.926859537760414,1
40.036299899999904,100.1,24.6,1189.45703125,77.7,99.0,3710.15625,6144.0,60.38665771484375,1
40.55173569999988,90.8,25.8,1189.46484375,77.5,99.0,3710.15625,6144.0,60.38665771484375,1
41.06816219999973,96.9,25.6,1189.52734375,77.6,99.0,3710.15625,6144.0,60.38665771484375,1
41.58459069999981,100.1,24.2,1189.52734375,77.8,99.0,3710.15625,6144.0,60.38665771484375,1
42.09971379999979,93.9,25.6,1189.53125,77.8,99.0,3710.15625,6144.0,60.38665771484375,1
42.61432710000008,615.0,66.4,2394.97265625,86.1,11.0,3710.15625,6144.0,60.38665771484375,1
43.14002320000009,781.2,71.2,2390.9765625,86.0,11.0,3710.15625,6144.0,60.38665771484375,1
43.661058499999854,762.1,76.6,2413.5390625,86.1,3.0,3710.15625,6144.0,60.38665771484375,1
44.183667499999956,787.3,76.7,2413.5390625,86.1,3.0,3701.28125,6144.0,60.242207845052086,1
44.71109780000006,765.1,65.3,2413.5390625,85.9,1.0,3699.15625,6144.0,60.207621256510414,1
45.23663669999996,799.4,66.3,2398.41796875,85.9,1.0,3699.15625,6144.0,60.207621256510414,1
45.75717059999988,759.2,60.4,2413.5390625,86.0,1.0,3699.15625,6144.0,60.207621256510414,1
46.280983000000106,491.5,45.9,1189.53125,77.6,1.0,3699.15625,6144.0,60.207621256510414,1
46.7972491999999,103.0,13.2,1189.53125,77.5,99.0,3699.15625,6144.0,60.207621256510414,1
47.31249919999982,87.8,21.3,1189.53125,77.6,99.0,3705.53125,6144.0,60.311381022135414,1
47.8347546,100.1,15.8,1189.53125,77.6,99.0,3705.53125,6144.0,60.311381022135414,1
48.349233699999786,103.0,17.8,1190.61328125,77.6,99.0,3705.4609375,6144.0,60.31023661295573,1
48.868938799999796,51.5,26.0,1194.0390625,77.8,0.0,3704.7734375,6144.0,60.2990468343099,1
49.3835111999997,11.8,31.5,1194.05859375,78.0,0.0,3704.7734375,6144.0,60.2990468343099,1
49.910667399999966,36.4,49.5,1266.92578125,78.7,0.0,3704.7734375,6144.0,60.2990468343099,2
50.43263329999991,18.2,54.7,1194.45703125,78.5,0.0,3704.7734375,6144.0,60.2990468343099,1
